SL. ,Comment,Hate,Type
269,ato kala hoise kmne ai baccha?,Yes,Racial
270,goru ki tr sorir r color r sathy milay kinsos naki!? ato kalo kno!?,Yes,Racial
271,ai pic er kahini ek matro legend ra bujhte parbe.,No,Not Hate
272,bichi kandhe,Yes,Slang
273,apu ek raater jonno koto tk nen?,Yes,Sexual
274,baal er news reporter!,Yes,Slang
275,Bangladesh team r future to amar moto..dekha jay na.,Yes,Appearance
276,"jitleo Bangladesh, Harleo Bangladesh",No,Not Hate
277,Mithun series a na khele e amadr jonno onk upokar korse.,Yes,Appearance
278,toder moton madarchod asay bolei akhno amra binodon pai.,Yes,Sexual
279,bujhlam na vai!!,No,Not Hate
280,unake dekhlei amar sunny leone r kotha mone hoy.,Yes,Appearance
281,amar kuttar putki o tr theke shada.,Yes,Appearance
282,ai apnader jonno e aisob abal ra celebrity hoye jay.,Yes,Appearance
283,Bisshas to oidin e uthe gese jeidin fridge khule ice cream er box khule dekhi mosla bata.,No,Not Hate
284,Bangeli to dhonsher dike jaitese aisob vondo huzur dr jonno.,Yes,Religious
285,"sobai line a thaken,  sobai galagalir chance paben",Yes,Others
286,Bangladesh team r nijedr man ijjot to nai..akhn amdr tao dubaitase,Yes,Others
287,mashud tmi ki r valo haba na?,No,Not Hate
288,baaler doctor amr.,Yes,Slang
289,fb te rog er baper ask na koira hospital a jan.,No,Not Hate
290,niche ki vai?? dildo naki?,Yes,Sexual
291,shalar vai re dhoira dhon ta kaitta de.,Yes,Slang
292,amr bow talak ,No,Not Hate
293, vai amr bow valo lagse na ,No,Not Hate
294,Amar Sob Bondhu Paice Sudhu ei Hotovaga Tamim a pailo na,No,Not Hate
295,Pai nai karon mehedi nam nai ,No,Not Hate
296," sit asteche akta valo dekhe bow diyen...,",No,Not Hate
297,Ai bow nia songsar kra jabe nh sry,No,Not Hate
298,JHONY SINS AKHON UTTRAI,Yes,Sexual
299,"Ekhun maiya go jamai niye ekta video banan,,, becara bf chara khub perai ase ",No,Not Hate
300,Aj amr name a bou nai boley  becey gelam,No,Not Hate
301,amra bissas korina,No,Not Hate
302,Assca admin vai ami ora mia gleam.Thanks me given a bow ,No,Not Hate
303,Nono boro tay,Yes,Sexual
304,ek jon kharap hole ki sbai kharap!! ,No,Not Hate
305,apnar ki ai powder atoi dorkar je biye boste hobe,No,Not Hate
306,gali sojjo korar khomota ache to tomar????tahole koro kono somossa nei,No,Not Hate
307, tor bon k diye ja 2d ei pregnet koira dibo sala abal....bebohar sikisni,Yes,Sexual
308,amar sathei thake darling 2jon sarakkhon bou k gali dey tao baje vasay,Yes,Others
309,bokacoda naki tui kamlar baccha ,Yes,Slang
310, apni hoito Bangladesh a thaken na.. ,No,Not Hate
311,Furi sylheti furi khabo ,Yes,Sexual
312,bhai ki ei sob. Bangla vasa ta k ses kore dilen apnara,No,Not Hate
313,Guwa mouri ekta moshla ,Yes,Slang
314,Guya to guyai amra khai. ,Yes,Slang
315,ami jani tor lagbe...,No,Not Hate
316,:maren bhai na korche ke,No,Not Hate
317,putki mara powder,Yes,Slang
318,Ho vai amgu barite sob bai ghuya bole sopari,Yes,Slang
319,pasa vai k den..... noile kabila k patabe,No,Not Hate
320,Oi miya kunta bujos nh abr andhu sandu post koreh matat rakis 2 London sylhet ,Yes,Racial
321,Vai ei post kore apni sylheti vasar  guya mere dilen,Yes,Racial
322,Eita kinna panite guila khaila...taile r amar bar bar tore kowa lagbo nah,No,Not Hate
323,ei ta kono kotha,No,Not Hate
324,English e gua mouri banglay hoiya gelo gua mari.Aigula kinben ar gua mara khaiben,Yes,Slang
325,Gua je maren nunu te gu lage na?,Yes,Slang
326,Mouri re mari likhse kn,No,Not Hate
327,"sylhet jete voy lage,kokhon ki bole feli",Yes,Racial
328,Jokhon tomar gf ekhon class 5 a pora chatri,No,Not Hate
329,R tmr babur sathe tumio 12 bhatar hoya gcho ,Yes,Sexual
330,tui nijre nije aita ki kos boin ami to tre vlo mne kortam,No,Not Hate
331,bondhu tui sokaler vhat dupur 12 tat kas,No,Not Hate
332,Shahed Kabir Se jonnoi toh kichu bollam nah,No,Not Hate
333,Hmm sona tumio 12vatari ,Yes,Sexual
334,Tumi baro noi 24 byatari ,Yes,Sexual
335,Amro to tai Mona hoi,No,Not Hate
336,tmi ekta paglachudi,Yes,Slang
337,Ahh ki shnti nije k nije 12 batari dake .tomr asha poron hok apu ,Yes,Sexual
338,Sotti kotha mukh foske berie gache,No,Not Hate
339,Class 7er meye,No,Not Hate
340,Ami hole boltam soja bari pathiye de ,No,Not Hate
341,Sala bokachoda gulo akhon theke amar online asha bondho,Yes,Slang
342,Amr khauar shokh ghuiccha gese,No,Not Hate
343,Somoy paile hagi,No,Not Hate
344,Akdm..nijek khb borolox mne hoy,No,Not Hate
345, ei pose ta tore sei manaibo ,No,Not Hate
346,sikhe rakho bandhopii ,No,Not Hate
347, barir kache nodite gorte niye jabe bolyase 1 mash dore ajke na kalke kalke na kore kore oi niye jaw nai ar ai khane,No,Not Hate
348, aiya poro nea jai kal ke,No,Not Hate
349,Ete obak howr kichu nai Bangladeshi  Media Ey rokom e,No,Not Hate
350,Bangladesher news media cude gese.dalaler baccara,Yes,Racial
351,Koi black tui to white..dektachi,Yes,Appearance
352,Ei post dekhar por pasay kompass dhukaisi,Yes,Slang
353,vai re vai turu love,No,Not Hate
354,thak vabar dorkar nai ar ,No,Not Hate
355,oreh shawwar pola,Yes,Slang
356,Allah r kosom ei pic ami tuli nai,No,Not Hate
357,Holsam na bole jaben na ,No,Not Hate
358,talent' related ki ase oitai bujhlam na,No,Not Hate
359,DENDI KHEYE NESHA KORLE EMON CONTENT LEKHA JAY,Yes,Others
360, cokh khule fele diye ay,No,Not Hate
361,AVG. VODOX,Yes,Slang
362,Dengue er affect e ki brain damage o Hoy?,Yes,Others
363,Taka khawanor jaiga obabh??Afghanistan kei khawate hobe tai na???jokes...,No,Not Hate
364,Bhai...Apnara You India bhokto...apnader k bujhai lab nai....jara bujhe shobai bolse..ajker match ta fixing...manen ba na manen,No,Not Hate
365,Pakistan r New Zealand theke Indiar takar drkar nai....ora Nijerai strong enough India k harabar jonno...r board chalabar jonno....kintu Afghanistan er tk drkar...India chara ..oder father nai...tai ajk match India k dise....Apni ajk oder khelar Approach dekhle bujben,No,Not Hate
366,J pandya ball e bat lagate pare na...o abar chokha mare,No,Not Hate
367,"Icha kre catch miss , fielding miss.. loppa bowl koto gulo de",No,Not Hate
368,Bangladesh er khela shika drkar Afghanistan Theke ,No,Not Hate
369,issiiiii shorom shorom,Yes,Others
370,k jani paoruti ar jilapi khaitese xD picture tay :v,No,Not Hate
371,"Kotha ta hocche, chobi ta tuleche ke? ",No,Not Hate
372,Protibar edare lara dawa off kor,No,Not Hate
373,Ufffffffffff's sry... ami pari kinto bolbo nh ,No,Not Hate
374,Ami gorbito j ami akjon hindu,No,Not Hate
375,Bangladesh timer sara jibon shikha lagbo. Jitar dorkar asena sudu khelle hobe joto shob abaler dole,Yes,Slang
376, Apner baler kotha khela r koto sikpo Jara notun dol aise tarai banladesh cheye vlo khele banladesh diboneyo vlo hobe na,Yes,Slang
377,keno bon jante pari?,No,Not Hate
378,Abar Semi Sudai,Yes,Slang
379,Bangladesher player gulare gorom dim therapy dawa hok,Yes,Others
380,Kon Bainchod best eleven nirbachon korse?,Yes,Slang
381," Cheee,tumi ai Buira khatas rea saxy dakhoo. Tomar chokh nosto hoisea kana choda ",Yes,Appearance
382, komdami fokinniee salar putea ,Yes,Slang
383,Tor ki bap naki?,No,Not Hate
384,kirea gadhiee orea janu dakos kno?O akta Buira khatas,Yes,Appearance
385,mod chere coke? shobuj pakhi,No,Not Hate
386,pichone buddu kagur murti keno?,No,Not Hate
387,Malta joss,Yes,Sexual
388,Shala gorib pant kinar tk nai,Yes,Appearance
389,"Dadu sathe porimoni thakle valo hoto,,,",No,Not Hate
390,sobi bujlam but bed er upor gowtom Budhhor photo kno,Yes,Religious
391,tor dadu Tupi dekhalo porichoy dilo se muslim kintu tar rooom gowtom budder photo kn,Yes,Religious
392,"Shala asole Raam chagol, faltur faltu ",Yes,Slang
393,Safuda tomar gore murti kano,Yes,Religious
394,Apni na thakle pola pan gulo hasbe ki nia..,No,Not Hate
395,shala jate kukur nesha kor,Yes,Slang
396,Malaun banur fashi cai ambarir sobai ek hon,Yes,Religious
397,kuttar baicchain tor mondir bangia gura gura koro malaun or baiccain,Yes,Religious
398,Amra mosolman okle hindu oklor loge bowt vala bebohar korilai...ar day aij eta malaun or baiccain te oto sahos pailaise...etay oto sahos koi taki pailo...???,Yes,Religious
399,"Amar friends list a kono ""malaun"" thakle nij daitte ber hoye jao",Yes,Religious
400,Kichu malaun vockto abal der bolchie j pakishtan er ager din nie.Tie bole 10 wicket,Yes,Religious
401,Ekhon ki muslimder keo malaun bola hoy...,Yes,Religious
402,Malaun ar bacca der ai desh thaka nipat kora houk,Yes,Religious
403,Somosto hindu dhormio jinsi acar acoron sob close kora hok...,Yes,Religious
404,Duniar sobchay nicu jat hindu bongso nirbongso kora hok,Yes,Religious
405,Baitta,Yes,Appearance
406,Shakchunni,Yes,Appearance
407,pori moni max pro,No,Not Hate
408,Local bus a uitha taka chay oy Hijrar moto lagtase,Yes,Appearance
409,apo dodo dekha jay,Yes,Sexual
410,Ar koto khulba apu?,Yes,Sexual
411,ei magir ki hoise vut e dhorse naki?,Yes,Slang
412,Lage kmn rohingya,Yes,Appearance
413,Aaah khanki,Yes,Slang
414,Shorom lojja bolte tor moddhe kicchu nai magi,Yes,Slang
415,Deshi pornstar,Yes,Sexual
416,Apni ei picture ta exorcism er shomoy room a TANGAIYEN. Taile kono demon ashbe na possess korte,No,Not Hate
417,Are ye Hindu? Naujubillah,Yes,Religious
418,Apni ki hindu hoye gesen naki?,No,Not Hate
419,Soytan er hat pa,Yes,Others
420,Ossobbo meye akta sanay o valo ae meye theke,Yes,Appearance
421,Aha pasa dekha jacche na to eita kono chobi holo,Yes,Sexual
422,Bangladeshi Sunny Leone,Yes,Sexual
423,Are you muslim Bangali meye sharite manay not western dress Airokom kicu meyeder dekhadekhi onk vlo meyerao nogno dress pore,Yes,Appearance
424,"Wstern dress eto pochondo hoile oder dormo accept kore namta paltai den, emon dress pore chobi ditesen islame theke r dorkar ki..",Yes,Appearance
425,Er cheye nengto thakai valo,Yes,Sexual
426,Aker maal,Yes,Sexual
427,Desi maal purai,Yes,Sexual
428,Toder muslim hishebe porichoy dileo guna hoba,Yes,Religious
429,tahole............ sex korar jonno tomake chai ,Yes,Sexual
430,Ahare... Dada jole?? Ora chumma pay ar apni pan na??,Yes,Sexual
431,Halar pakir size to deko,Yes,Sexual
432,Ke oni onar poricoy ta jante chai,No,Not Hate
